4.39539   0.260995   3.42116   4.86697   3.99531   170.708   4.63183   0.699161   
4.77039   0.193781   3.09007   2.16897   3.10966   139.742   3.86047   0.884771   
5.75563   0.391215   3.05484   2.9437   4.17773   158.827   4.56159   0.41817   
4.82851   0.152237   2.90507   1.69895   2.97705   137.881   4.09874   0.897499   
5.61092   0.230552   3.0386   2.79982   4.08941   170.081   4.52945   0.617108   
4.93687   0.246691   2.97353   1.90062   3.08698   138.104   4.07558   0.899526   
5.30025   0.00788693   2.99675   2.5226   4.08173   171.333   5.15807   1.87824   
4.9462   0.140851   2.8796   2.16546   3.00599   139.629   3.83561   0.902917   
5.6956   0.197714   3.124   3.0805   3.82874   163.351   4.49987   0.729275   
5.72512   0.172084   3.07771   2.62873   3.03824   146.607   3.92877   0.891948   
5.62499   0.321292   2.93767   2.46413   3.02151   140.583   4.03352   0.918808   
5.33477   0.164749   3.03114   2.85226   2.90434   136.639   4.10663   0.905988   
4.43905   0.0336328   3.87968   4.99444   4.1274   161.609   4.41607   0.638196   
5.15544   0.248917   3.17487   2.08955   3.03517   147.37   3.89454   0.904445   
4.14226   0.306997   3.29088   5.03932   3.94922   163.231   4.6189   0.336794   
4.73622   0.118698   3.30477   4.91872   4.1167   166.633   4.40177   0.652136   
5.58987   0.0562207   2.69793   2.28505   4.20288   157.37   5.02218   1.47054   
5.5505   0.35319   3.1021   2.79274   3.96163   160.974   4.5324   0.828812   
4.45962   0.282257   3.57123   4.56289   4.01214   163.72   4.61607   0.532611   
4.77852   0.270745   3.26759   2.8557   4.18213   172.257   4.8449   1.6523   
4.93067   0.162483   2.90956   2.94195   3.85852   170.55   4.61959   0.685517   
5.35917   0.125457   2.79913   2.19253   4.02367   162.689   5.37946   1.63462   
5.08384   0.283506   3.06213   1.92813   2.94255   141.494   3.97375   0.906623   
5.59162   0.33023   2.95042   2.56994   2.93504   139.713   3.87377   0.904029   
3.96655   0.041079   3.21711   2.80051   4.16476   171.669   4.82747   1.89069   
5.24784   0.201083   2.82906   2.75896   4.05449   160.486   4.96415   1.4386   
4.92891   0.182886   2.99268   1.73524   3.02582   150.983   3.93963   0.912777   
4.77045   0.166756   3.21649   1.95614   3.07394   146.087   4.13838   0.903877   
5.8192   0.415582   2.9401   2.59312   3.89267   162.449   5.3956   1.67101   
5.06646   0.158575   2.91546   1.86437   3.08203   134.609   3.9531   0.904799   
5.00591   0.393322   3.18142   3.17494   4.12725   160.943   4.61398   0.909224   
3.99781   0.278126   3.34293   2.93762   3.99151   165.819   4.90111   2.23366   
4.83214   0.163303   3.21966   2.10847   2.93839   144.232   3.80973   0.914648   
4.86707   0.156986   3.06855   2.99602   4.02681   161.796   4.46492   0.682063   
5.6722   0.275325   3.18535   2.95274   4.05647   165.729   4.5203   0.758252   
4.10627   0.163891   3.3241   2.78715   3.86116   164.466   5.04542   1.95254   
5.71487   0.199824   2.67791   2.44247   3.9438   165.882   5.15739   1.68185   
5.59111   0.441308   3.0463   2.40761   2.98469   136.706   4.03783   0.905566   
5.03904   0.235519   2.86905   2.20776   2.88113   145.009   4.11112   0.908468   
4.92112   0.0907849   2.9434   5.05538   4.17802   154.841   4.64106   0.261255   
5.38029   0.0878205   2.90164   2.30219   2.94678   145.523   4.00691   0.907367   
4.6301   0.16042   3.68412   4.89165   3.93331   172.677   4.60045   0.419929   
4.72289   0.0581199   3.50089   4.62518   4.14765   161.621   4.57137   0.744456   
5.5431   0.197808   3.19269   3.18712   4.16957   170.991   4.57492   0.929182   
4.94117   0.190809   3.0187   1.8488   2.91333   145.66   4.06361   0.928462   
5.19404   0.15159   3.07493   2.95028   4.08215   167.578   4.60807   0.785134   
5.24112   0.171728   3.1598   4.7911   4.11034   157.466   4.46421   0.647572   
4.31457   0.0202694   3.46731   4.93535   4.05523   162.993   4.56329   0.531502   
5.41229   0.344875   3.00643   2.37883   3.04123   143.049   3.88683   0.923329   
5.49408   0.269804   2.73289   2.9448   4.08344   160.363   4.57099   0.888851   
5.77697   0.211138   2.97211   2.21512   2.8773   142.391   3.9994   0.912287   
5.08246   0.151298   3.14436   2.70674   3.97686   171.628   4.46935   0.407414   
5.63075   0.111712   2.80409   2.64927   2.95382   134.469   3.96833   0.890803   
5.6861   0.401516   2.72218   2.29984   4.17071   172.934   5.08138   2.39139   
4.79628   0.194974   2.98415   1.80525   2.87556   141.597   4.10825   0.89596   
6.06792   0.160686   3.14318   3.03932   4.15826   165.907   4.69709   0.654064   
4.22267   0.132307   3.56323   4.8662   4.00017   155.12   4.4737   0.766659   
4.74932   0.269468   2.89668   1.67405   2.92824   142.021   4.11067   0.903475   
