3.70521   5.44657   0.257054   3.04019   0.00629068   42.3259   4.21509   219.35   4.51371   2.45779   
3.43818   5.15479   0.255818   3.29747   0.005675   47.84   3.90617   243.197   5.08378   3.64977   
3.54901   5.43211   0.142952   2.85739   0.00303652   44.4599   4.17227   225.44   5.05828   2.37885   
3.44944   5.52846   0.127182   3.14918   0.00314133   41.2901   4.15625   243.415   4.44943   2.47916   
3.49264   4.1204   0.193656   3.38935   0.00644453   45.5632   4.03833   240.33   5.12101   3.60153   
3.65153   5.04927   0.0269976   3.32118   0.00534037   47.7894   4.04417   234.437   4.87241   3.5949   
3.22328   5.37235   0.130056   2.93286   0.00242105   49.1754   3.98709   228.703   5.02296   2.369   
3.89547   4.93447   0.182236   3.03671   0.00290885   39.7018   2.99041   205.643   4.15424   2.39318   
4.06283   4.17021   0.212107   3.22886   0.00609128   41.6919   4.07501   246.331   4.44286   2.31546   
3.01457   5.63063   0.362484   3.10232   0.00308601   42.177   4.01831   238.576   4.58272   2.58798   
3.46179   5.22583   0.236841   3.08586   0.00610702   41.2721   4.34925   211.895   4.60655   2.52035   
3.63768   4.82711   0.299621   3.15946   0.00315772   41.7877   4.16765   234.792   4.4777   2.6253   
4.17436   4.3903   0.278309   3.12645   0.00574773   43.5546   4.09838   233.265   4.43102   2.48823   
4.09737   4.26995   0.140624   3.2292   0.00558866   40.1449   4.16491   240.734   4.54218   2.41897   
3.77353   4.9073   0.183342   3.23251   0.00560437   45.6433   3.89766   225.545   5.20073   3.56929   
3.26693   6.18988   0.084495   3.0492   0.00639705   40.4243   4.16507   224.837   4.54452   2.41943   
3.31104   5.57045   0.222887   2.96719   0.00593589   40.5436   4.32893   207.403   4.55594   2.36509   
2.91139   5.63497   0.267093   2.97762   0.00511821   39.2421   3.09708   180.283   3.96968   2.51012   
4.10262   5.28125   0.157845   3.08952   0.00301196   39.7663   2.86383   200.728   3.99213   2.37655   
3.7642   5.74935   0.260114   3.02796   0.00607929   41.4793   4.05682   223.095   4.34891   2.59454   
4.10635   5.17144   0.130644   2.91953   0.00329409   38.9171   3.12714   191.363   3.95342   2.39   
3.45145   5.03199   0.216202   2.90321   0.00279917   40.4537   2.95627   198.091   3.99361   2.512   
3.48883   5.38501   0.188387   2.89234   0.00303522   41.6257   4.09718   221.293   4.56727   2.67915   
3.12708   5.72421   0.174209   2.9382   0.00494264   40.8333   3.00707   191.913   4.0614   2.60152   
3.94652   5.71296   0.212245   3.13028   0.00302848   41.999   4.03446   231.061   4.40861   2.48231   
3.54336   5.36076   0.0734153   3.09581   0.00284678   42.4055   4.05862   226.178   4.53443   2.43525   
4.40562   4.75909   0.239174   2.97946   0.00266408   40.2888   2.97971   197.16   3.95703   2.54768   
3.38005   5.39931   0.357481   2.85752   0.00295478   41.8555   4.02817   217.593   5.15252   2.25225   
4.07346   4.244   0.0866174   3.49552   0.00573297   43.2328   4.11854   232.442   4.41248   2.40038   
3.43855   5.36833   0.116912   3.10138   0.00285493   38.744   3.04246   201.194   3.88084   2.59723   
3.02613   5.32172   0.156553   2.85227   0.0051893   39.2683   3.12968   201.367   3.88557   2.74606   
3.28964   5.6938   0.137232   2.88632   0.00319035   43.7213   4.09438   235.249   5.12588   2.3885   
